Alcohol,Malicacid,Ash,Alcalinity_of_ash,Magnesium,Total_phenols,Flavanoids,Nonflavanoid_phenols,Proanthocyanins,Color_intensity,Hue,0D280_0D315_of_diluted_wines,Proline,order,value,abs_value,metric,n_train,n_test,seed,class_id
1,1,0,0,1,0,0,1,1,0,0,1,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,1,0,0,1,0,0,1,0,1,1,1,0,7,0.9333333333333332,0.9333333333333332,accuracy,133,45,42,4
1,1,0,0,1,0,0,1,0,1,1,0,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,1,0,0,1,0,0,1,0,1,0,1,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,1,0,0,1,0,0,1,0,0,1,1,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,1,0,0,1,0,0,0,1,1,1,1,0,7,0.9333333333333332,0.9333333333333332,accuracy,133,45,42,4
1,1,0,0,1,0,0,0,1,1,1,0,1,7,1.0,1.0,accuracy,133,45,42,1
1,1,0,0,1,0,0,0,1,1,0,1,1,7,1.0,1.0,accuracy,133,45,42,1
1,1,0,0,1,0,0,0,1,0,1,1,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,1,0,0,1,0,0,0,0,1,1,1,1,7,1.0,1.0,accuracy,133,45,42,1
1,1,0,0,0,1,1,1,1,1,0,0,0,7,0.9333333333333332,0.9333333333333332,accuracy,133,45,42,4
1,1,0,0,0,1,1,1,1,0,1,0,0,7,0.9333333333333332,0.9333333333333332,accuracy,133,45,42,4
1,1,0,0,0,1,1,1,1,0,0,1,0,7,0.9111111111111112,0.9111111111111112,accuracy,133,45,42,5
1,1,0,0,0,1,1,1,1,0,0,0,1,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,1,0,0,0,1,1,1,0,1,1,0,0,7,0.9333333333333332,0.9333333333333332,accuracy,133,45,42,4
1,1,0,0,0,1,1,1,0,1,0,1,0,7,0.9111111111111112,0.9111111111111112,accuracy,133,45,42,5
1,1,0,0,0,1,1,1,0,1,0,0,1,7,1.0,1.0,accuracy,133,45,42,1
1,1,0,0,0,1,1,1,0,0,1,1,0,7,0.9333333333333332,0.9333333333333332,accuracy,133,45,42,4
1,1,0,0,0,1,1,1,0,0,1,0,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,1,0,0,0,1,1,1,0,0,0,1,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,1,0,0,0,1,1,0,1,1,1,0,0,7,0.9333333333333332,0.9333333333333332,accuracy,133,45,42,4
1,1,0,0,0,1,1,0,1,1,0,1,0,7,0.9333333333333332,0.9333333333333332,accuracy,133,45,42,4
1,1,0,0,0,1,1,0,1,1,0,0,1,7,1.0,1.0,accuracy,133,45,42,1
1,1,0,0,0,1,1,0,1,0,1,1,0,7,0.9333333333333332,0.9333333333333332,accuracy,133,45,42,4
1,1,0,0,0,1,1,0,1,0,1,0,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,1,0,0,0,1,1,0,1,0,0,1,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,1,0,0,0,1,1,0,0,1,1,1,0,7,0.9111111111111112,0.9111111111111112,accuracy,133,45,42,5
1,1,0,0,0,1,1,0,0,1,1,0,1,7,1.0,1.0,accuracy,133,45,42,1
1,1,0,0,0,1,1,0,0,1,0,1,1,7,1.0,1.0,accuracy,133,45,42,1
1,1,0,0,0,1,1,0,0,0,1,1,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,1,0,0,0,1,0,1,1,1,1,0,0,7,0.9333333333333332,0.9333333333333332,accuracy,133,45,42,4
1,1,0,0,0,1,0,1,1,1,0,1,0,7,0.8888888888888888,0.8888888888888888,accuracy,133,45,42,6
1,1,0,0,0,1,0,1,1,1,0,0,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,1,0,0,0,1,0,1,1,0,1,1,0,7,0.9333333333333332,0.9333333333333332,accuracy,133,45,42,4
1,1,0,0,0,1,0,1,1,0,1,0,1,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,1,0,0,0,1,0,1,1,0,0,1,1,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,1,0,0,0,1,0,1,0,1,1,1,0,7,0.9111111111111112,0.9111111111111112,accuracy,133,45,42,5
1,1,0,0,0,1,0,1,0,1,1,0,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,1,0,0,0,1,0,1,0,1,0,1,1,7,1.0,1.0,accuracy,133,45,42,1
1,1,0,0,0,1,0,1,0,0,1,1,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,1,0,0,0,1,0,0,1,1,1,1,0,7,0.9111111111111112,0.9111111111111112,accuracy,133,45,42,5
1,1,0,0,0,1,0,0,1,1,1,0,1,7,1.0,1.0,accuracy,133,45,42,1
1,1,0,0,0,1,0,0,1,1,0,1,1,7,1.0,1.0,accuracy,133,45,42,1
1,1,0,0,0,1,0,0,1,0,1,1,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,1,0,0,0,1,0,0,0,1,1,1,1,7,1.0,1.0,accuracy,133,45,42,1
1,1,0,0,0,0,1,1,1,1,1,0,0,7,0.9333333333333332,0.9333333333333332,accuracy,133,45,42,4
1,1,0,0,0,0,1,1,1,1,0,1,0,7,0.9333333333333332,0.9333333333333332,accuracy,133,45,42,4
1,1,0,0,0,0,1,1,1,1,0,0,1,7,1.0,1.0,accuracy,133,45,42,1
1,1,0,0,0,0,1,1,1,0,1,1,0,7,0.9333333333333332,0.9333333333333332,accuracy,133,45,42,4
1,1,0,0,0,0,1,1,1,0,1,0,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,1,0,0,0,0,1,1,1,0,0,1,1,7,0.9333333333333332,0.9333333333333332,accuracy,133,45,42,4
1,1,0,0,0,0,1,1,0,1,1,1,0,7,0.9111111111111112,0.9111111111111112,accuracy,133,45,42,5
1,1,0,0,0,0,1,1,0,1,1,0,1,7,1.0,1.0,accuracy,133,45,42,1
1,1,0,0,0,0,1,1,0,1,0,1,1,7,1.0,1.0,accuracy,133,45,42,1
1,1,0,0,0,0,1,1,0,0,1,1,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,1,0,0,0,0,1,0,1,1,1,1,0,7,0.9333333333333332,0.9333333333333332,accuracy,133,45,42,4
1,1,0,0,0,0,1,0,1,1,1,0,1,7,1.0,1.0,accuracy,133,45,42,1
1,1,0,0,0,0,1,0,1,1,0,1,1,7,1.0,1.0,accuracy,133,45,42,1
1,1,0,0,0,0,1,0,1,0,1,1,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,1,0,0,0,0,1,0,0,1,1,1,1,7,1.0,1.0,accuracy,133,45,42,1
1,1,0,0,0,0,0,1,1,1,1,1,0,7,0.9111111111111112,0.9111111111111112,accuracy,133,45,42,5
1,1,0,0,0,0,0,1,1,1,1,0,1,7,1.0,1.0,accuracy,133,45,42,1
1,1,0,0,0,0,0,1,1,1,0,1,1,7,1.0,1.0,accuracy,133,45,42,1
1,1,0,0,0,0,0,1,1,0,1,1,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,1,0,0,0,0,0,1,0,1,1,1,1,7,1.0,1.0,accuracy,133,45,42,1
1,1,0,0,0,0,0,0,1,1,1,1,1,7,1.0,1.0,accuracy,133,45,42,1
1,0,1,1,1,1,1,1,0,0,0,0,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,1,1,1,0,1,0,0,0,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,1,1,1,0,0,1,0,0,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,1,1,1,0,0,0,1,0,0,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,1,1,1,1,0,0,0,0,1,0,7,1.0,1.0,accuracy,133,45,42,1
1,0,1,1,1,1,1,0,0,0,0,0,1,7,1.0,1.0,accuracy,133,45,42,1
1,0,1,1,1,1,0,1,1,0,0,0,0,7,0.9111111111111112,0.9111111111111112,accuracy,133,45,42,5
1,0,1,1,1,1,0,1,0,1,0,0,0,7,0.9111111111111112,0.9111111111111112,accuracy,133,45,42,5
1,0,1,1,1,1,0,1,0,0,1,0,0,7,0.9111111111111112,0.9111111111111112,accuracy,133,45,42,5
1,0,1,1,1,1,0,1,0,0,0,1,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,1,1,0,1,0,0,0,0,1,7,0.9333333333333332,0.9333333333333332,accuracy,133,45,42,4
1,0,1,1,1,1,0,0,1,1,0,0,0,7,0.9333333333333332,0.9333333333333332,accuracy,133,45,42,4
1,0,1,1,1,1,0,0,1,0,1,0,0,7,0.9111111111111112,0.9111111111111112,accuracy,133,45,42,5
1,0,1,1,1,1,0,0,1,0,0,1,0,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,1,1,1,0,0,1,0,0,0,1,7,0.9333333333333332,0.9333333333333332,accuracy,133,45,42,4
1,0,1,1,1,1,0,0,0,1,1,0,0,7,0.9333333333333332,0.9333333333333332,accuracy,133,45,42,4
1,0,1,1,1,1,0,0,0,1,0,1,0,7,0.9333333333333332,0.9333333333333332,accuracy,133,45,42,4
1,0,1,1,1,1,0,0,0,1,0,0,1,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,1,1,1,0,0,0,0,1,1,0,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,1,1,1,0,0,0,0,1,0,1,7,0.9111111111111112,0.9111111111111112,accuracy,133,45,42,5
1,0,1,1,1,1,0,0,0,0,0,1,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,1,0,1,1,1,0,0,0,0,7,1.0,1.0,accuracy,133,45,42,1
1,0,1,1,1,0,1,1,0,1,0,0,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,1,0,1,1,0,0,1,0,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,1,0,1,1,0,0,0,1,0,7,1.0,1.0,accuracy,133,45,42,1
1,0,1,1,1,0,1,1,0,0,0,0,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,1,0,1,0,1,1,0,0,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,1,0,1,0,1,0,1,0,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,1,0,1,0,1,0,0,1,0,7,1.0,1.0,accuracy,133,45,42,1
1,0,1,1,1,0,1,0,1,0,0,0,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,1,0,1,0,0,1,1,0,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,1,0,1,0,0,1,0,1,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,1,0,1,0,0,1,0,0,1,7,1.0,1.0,accuracy,133,45,42,1
1,0,1,1,1,0,1,0,0,0,1,1,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,1,0,1,0,0,0,1,0,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,1,0,1,0,0,0,0,1,1,7,1.0,1.0,accuracy,133,45,42,1
1,0,1,1,1,0,0,1,1,1,0,0,0,7,0.8888888888888888,0.8888888888888888,accuracy,133,45,42,6
1,0,1,1,1,0,0,1,1,0,1,0,0,7,0.9111111111111112,0.9111111111111112,accuracy,133,45,42,5
1,0,1,1,1,0,0,1,1,0,0,1,0,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,1,1,0,0,1,1,0,0,0,1,7,0.9111111111111112,0.9111111111111112,accuracy,133,45,42,5
1,0,1,1,1,0,0,1,0,1,1,0,0,7,0.9111111111111112,0.9111111111111112,accuracy,133,45,42,5
1,0,1,1,1,0,0,1,0,1,0,1,0,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,1,1,0,0,1,0,1,0,0,1,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,1,1,0,0,1,0,0,1,1,0,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,1,1,0,0,1,0,0,1,0,1,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,1,1,0,0,1,0,0,0,1,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,1,0,0,0,1,1,1,0,0,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,1,1,0,0,0,1,1,0,1,0,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,1,1,0,0,0,1,1,0,0,1,7,1.0,1.0,accuracy,133,45,42,1
1,0,1,1,1,0,0,0,1,0,1,1,0,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,1,1,0,0,0,1,0,1,0,1,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,1,1,0,0,0,1,0,0,1,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,1,0,0,0,0,1,1,1,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,1,0,0,0,0,1,1,0,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,1,0,0,0,0,1,0,1,1,7,1.0,1.0,accuracy,133,45,42,1
1,0,1,1,1,0,0,0,0,0,1,1,1,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,1,0,1,1,1,1,0,0,0,0,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,1,0,1,1,1,0,1,0,0,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,0,1,1,1,0,0,1,0,0,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,1,0,1,1,1,0,0,0,1,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,0,1,1,1,0,0,0,0,1,7,1.0,1.0,accuracy,133,45,42,1
1,0,1,1,0,1,1,0,1,1,0,0,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,0,1,1,0,1,0,1,0,0,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,1,0,1,1,0,1,0,0,1,0,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,1,0,1,1,0,1,0,0,0,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,0,1,1,0,0,1,1,0,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,0,1,1,0,0,1,0,1,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,0,1,1,0,0,1,0,0,1,7,1.0,1.0,accuracy,133,45,42,1
1,0,1,1,0,1,1,0,0,0,1,1,0,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,1,0,1,1,0,0,0,1,0,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,0,1,1,0,0,0,0,1,1,7,1.0,1.0,accuracy,133,45,42,1
1,0,1,1,0,1,0,1,1,1,0,0,0,7,0.9333333333333332,0.9333333333333332,accuracy,133,45,42,4
1,0,1,1,0,1,0,1,1,0,1,0,0,7,0.8444444444444444,0.8444444444444444,accuracy,133,45,42,8
1,0,1,1,0,1,0,1,1,0,0,1,0,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,1,0,1,0,1,1,0,0,0,1,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,1,0,1,0,1,0,1,1,0,0,7,0.9333333333333332,0.9333333333333332,accuracy,133,45,42,4
1,0,1,1,0,1,0,1,0,1,0,1,0,7,0.9333333333333332,0.9333333333333332,accuracy,133,45,42,4
1,0,1,1,0,1,0,1,0,1,0,0,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,0,1,0,1,0,0,1,1,0,7,0.9333333333333332,0.9333333333333332,accuracy,133,45,42,4
1,0,1,1,0,1,0,1,0,0,1,0,1,7,0.9111111111111112,0.9111111111111112,accuracy,133,45,42,5
1,0,1,1,0,1,0,1,0,0,0,1,1,7,1.0,1.0,accuracy,133,45,42,1
1,0,1,1,0,1,0,0,1,1,1,0,0,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,1,0,1,0,0,1,1,0,1,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,0,1,0,0,1,1,0,0,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,0,1,0,0,1,0,1,1,0,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,1,0,1,0,0,1,0,1,0,1,7,0.9333333333333332,0.9333333333333332,accuracy,133,45,42,4
1,0,1,1,0,1,0,0,1,0,0,1,1,7,0.9333333333333332,0.9333333333333332,accuracy,133,45,42,4
1,0,1,1,0,1,0,0,0,1,1,1,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,0,1,0,0,0,1,1,0,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,0,1,0,0,0,1,0,1,1,7,1.0,1.0,accuracy,133,45,42,1
1,0,1,1,0,1,0,0,0,0,1,1,1,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,1,0,0,1,1,1,1,0,0,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,0,0,1,1,1,0,1,0,0,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,1,0,0,1,1,1,0,0,1,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,0,0,1,1,1,0,0,0,1,7,1.0,1.0,accuracy,133,45,42,1
1,0,1,1,0,0,1,1,0,1,1,0,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,0,0,1,1,0,1,0,1,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,0,0,1,1,0,1,0,0,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,0,0,1,1,0,0,1,1,0,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,1,0,0,1,1,0,0,1,0,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,0,0,1,1,0,0,0,1,1,7,1.0,1.0,accuracy,133,45,42,1
1,0,1,1,0,0,1,0,1,1,1,0,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,0,0,1,0,1,1,0,1,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,0,0,1,0,1,1,0,0,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,0,0,1,0,1,0,1,1,0,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,1,0,0,1,0,1,0,1,0,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,0,0,1,0,1,0,0,1,1,7,1.0,1.0,accuracy,133,45,42,1
1,0,1,1,0,0,1,0,0,1,1,1,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,0,0,1,0,0,1,1,0,1,7,1.0,1.0,accuracy,133,45,42,1
1,0,1,1,0,0,1,0,0,1,0,1,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,0,0,1,0,0,0,1,1,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,0,0,0,1,1,1,1,0,0,7,0.9333333333333332,0.9333333333333332,accuracy,133,45,42,4
1,0,1,1,0,0,0,1,1,1,0,1,0,7,0.9333333333333332,0.9333333333333332,accuracy,133,45,42,4
1,0,1,1,0,0,0,1,1,1,0,0,1,7,1.0,1.0,accuracy,133,45,42,1
1,0,1,1,0,0,0,1,1,0,1,1,0,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,1,0,0,0,1,1,0,1,0,1,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,1,0,0,0,1,1,0,0,1,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,0,0,0,1,0,1,1,1,0,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,1,0,0,0,1,0,1,1,0,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,0,0,0,1,0,1,0,1,1,7,1.0,1.0,accuracy,133,45,42,1
1,0,1,1,0,0,0,1,0,0,1,1,1,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,1,0,0,0,0,1,1,1,1,0,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,1,0,0,0,0,1,1,1,0,1,7,1.0,1.0,accuracy,133,45,42,1
1,0,1,1,0,0,0,0,1,1,0,1,1,7,1.0,1.0,accuracy,133,45,42,1
1,0,1,1,0,0,0,0,1,0,1,1,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,1,0,0,0,0,0,1,1,1,1,7,1.0,1.0,accuracy,133,45,42,1
1,0,1,0,1,1,1,1,1,0,0,0,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,0,1,1,1,1,0,1,0,0,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,0,1,1,1,1,0,0,1,0,0,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,0,1,1,1,1,0,0,0,1,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,0,1,1,1,1,0,0,0,0,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,0,1,1,1,0,1,1,0,0,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,0,1,1,1,0,1,0,1,0,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,0,1,1,1,0,1,0,0,1,0,7,1.0,1.0,accuracy,133,45,42,1
1,0,1,0,1,1,1,0,1,0,0,0,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,0,1,1,1,0,0,1,1,0,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,0,1,1,1,0,0,1,0,1,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,0,1,1,1,0,0,1,0,0,1,7,1.0,1.0,accuracy,133,45,42,1
1,0,1,0,1,1,1,0,0,0,1,1,0,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,0,1,1,1,0,0,0,1,0,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,0,1,1,1,0,0,0,0,1,1,7,1.0,1.0,accuracy,133,45,42,1
1,0,1,0,1,1,0,1,1,1,0,0,0,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,0,1,1,0,1,1,0,1,0,0,7,0.8666666666666667,0.8666666666666667,accuracy,133,45,42,7
1,0,1,0,1,1,0,1,1,0,0,1,0,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,0,1,1,0,1,1,0,0,0,1,7,0.8888888888888888,0.8888888888888888,accuracy,133,45,42,6
1,0,1,0,1,1,0,1,0,1,1,0,0,7,0.9333333333333332,0.9333333333333332,accuracy,133,45,42,4
1,0,1,0,1,1,0,1,0,1,0,1,0,7,0.9333333333333332,0.9333333333333332,accuracy,133,45,42,4
1,0,1,0,1,1,0,1,0,1,0,0,1,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,0,1,1,0,1,0,0,1,1,0,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,0,1,1,0,1,0,0,1,0,1,7,0.9111111111111112,0.9111111111111112,accuracy,133,45,42,5
1,0,1,0,1,1,0,1,0,0,0,1,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,0,1,1,0,0,1,1,1,0,0,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,0,1,1,0,0,1,1,0,1,0,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,0,1,1,0,0,1,1,0,0,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,0,1,1,0,0,1,0,1,1,0,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,0,1,1,0,0,1,0,1,0,1,7,0.9333333333333332,0.9333333333333332,accuracy,133,45,42,4
1,0,1,0,1,1,0,0,1,0,0,1,1,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,0,1,1,0,0,0,1,1,1,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,0,1,1,0,0,0,1,1,0,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,0,1,1,0,0,0,1,0,1,1,7,1.0,1.0,accuracy,133,45,42,1
1,0,1,0,1,1,0,0,0,0,1,1,1,7,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
1,0,1,0,1,0,1,1,1,1,0,0,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,0,1,0,1,1,1,0,1,0,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,0,1,0,1,1,1,0,0,1,0,7,1.0,1.0,accuracy,133,45,42,1
1,0,1,0,1,0,1,1,1,0,0,0,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,0,1,0,1,1,0,1,1,0,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,0,1,0,1,1,0,1,0,1,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,0,1,0,1,1,0,1,0,0,1,7,1.0,1.0,accuracy,133,45,42,1
1,0,1,0,1,0,1,1,0,0,1,1,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,0,1,0,1,1,0,0,1,0,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,0,1,0,1,1,0,0,0,1,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,0,1,0,1,0,1,1,1,0,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,0,1,0,1,0,1,1,0,1,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,0,1,0,1,0,1,1,0,0,1,7,1.0,1.0,accuracy,133,45,42,1
1,0,1,0,1,0,1,0,1,0,1,1,0,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,0,1,0,1,0,1,0,1,0,1,7,0.9777777777777776,0.9777777777777776,accuracy,133,45,42,2
1,0,1,0,1,0,1,0,1,0,0,1,1,7,1.0,1.0,accuracy,133,45,42,1
